school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2015-16,8110_0100,21st Century Preparatory School,2r/2x Charter,68.3,Meets Expectations,445,41,65.1,65.5,NA,82.5,NA,NA,NA,NA,0
2015-16,0000_1701,A Promise of Hope Academy,Private,NA,Not Rated*,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2015-16,0007_0020,Abbotsford Elementary,Traditional Public,74.5,Exceeds Expectations,377,51.9,68.9,78.7,NA,84.7,NA,NA,NA,NA,0
2015-16,0007_0040,Abbotsford Middle/Senior High,Traditional Public,73.4,Exceeds Expectations,336,58.6,65.1,75.8,NA,90.1,NA,NA,NA,NA,0
2015-16,0000_1652,Academy of Excellence,Private,NA,Not Rated*,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2015-16,0014_0130,Adams-Friendship Elementary,Traditional Public,62.4,Meets Few Expectations,458,55.1,48.9,66.7,NA,83.8,NA,NA,NA,NA,0
2015-16,0014_0040,Adams-Friendship High,Traditional Public,54.3,Meets Few Expectations,489,40.7,NA,60.2,NA,94.9,NA,NA,NA,NA,0
2015-16,0014_0210,Adams-Friendship Middle,Traditional Public,60.9,Meets Few Expectations,354,54.9,53.6,72,NA,84.3,NA,NA,NA,NA,0
2015-16,0014_0140,Grand Marsh Elementary,Traditional Public,77.5,Exceeds Expectations,153,65,79.4,71.8,NA,82.1,NA,NA,NA,NA,0
2015-16,0014_0200,Roche-A-Cri Elementary,Traditional Public,80.3,Exceeds Expectations,113,64.6,79.4,77,NA,88.4,NA,NA,NA,NA,0
2015-16,0063_0060,Albany Community Middle,Instrumentality Charter,55.6,Meets Few Expectations,102,60.5,27.1,46.1,NA,84.7,NA,NA,NA,NA,0
2015-16,0063_0020,Albany Elementary,Traditional Public,65.6,Meets Expectations,124,66.1,47,NA,NA,91.9,NA,NA,NA,NA,0
2015-16,0063_0040,Albany High,Traditional Public,65.2,Meets Expectations,112,60.9,NA,NA,NA,82.3,NA,NA,NA,NA,0
2015-16,0070_0020,Algoma Elementary,Traditional Public,70.9,Meets Expectations,392,70.4,53.7,74.4,NA,90.2,NA,NA,NA,NA,0
2015-16,0070_0040,Algoma High,Traditional Public,77.1,Exceeds Expectations,333,75.4,67.9,76.2,NA,88.2,NA,NA,NA,NA,0
2015-16,0084_0020,Alma Elementary,Traditional Public,74.3,Exceeds Expectations,177,68.5,64.2,76.7,NA,87.1,NA,NA,NA,NA,0
2015-16,0084_0040,Alma High,Traditional Public,NA,Alternate Rating - Satisfactory Progress,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-16,0091_0080,Lincoln Elementary,Traditional Public,76.9,Exceeds Expectations,350,66.1,84.1,57.7,NA,87.2,NA,NA,NA,NA,0
